Gene stable ID	Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENSG00000137204	ENST00000372585	Q9Y694	SLC22A7
ENSG00000140323	ENST00000267889	A7MBM2	DISP2
ENSG00000110108	ENST00000227525	Q9BVC6	TMEM109
ENSG00000129744	ENST00000250693	P52961	ART1
ENSG00000125107	ENST00000317147	A5YKK6	CNOT1
ENSG00000141736	ENST00000269571	P04626	ERBB2
ENSG00000115226	ENST00000264703	Q9H6D8	FNDC4
ENSG00000146904	ENST00000275815	P21709	EPHA1
ENSG00000115255	ENST00000233596	Q96HR9	REEP6
ENSG00000134460	ENST00000379959	P01589	IL2RA
ENSG00000108684	ENST00000225823	Q16515	ASIC2
ENSG00000130303	ENST00000252593	Q10589	BST2
ENSG00000107719	ENST00000263563	Q9ULE6	PALD1
ENSG00000132406	ENST00000382753	Q5BJH2	TMEM128
ENSG00000007314	ENST00000435607	P35499	SCN4A
ENSG00000086598	ENST00000262225	Q15363	TMED2
ENSG00000108622	ENST00000579788	P13598	ICAM2
ENSG00000070729	ENST00000251102	Q14028	CNGB1
ENSG00000075303	ENST00000341119	Q8TBP6	SLC25A40
ENSG00000142089	ENST00000399808	Q01628	IFITM3
ENSG00000124164	ENST00000475243	O95292	VAPB
ENSG00000151366	ENST00000281031	O95298	NDUFC2
ENSG00000140563	ENST00000357742	Q6DN12	MCTP2
ENSG00000101928	ENST00000370783	Q9UJG1	MOSPD1
ENSG00000078124	ENST00000532485	Q9NUN7	ACER3
ENSG00000129048	ENST00000249887	Q9NPB9	ACKR4
ENSG00000088726	ENST00000314124	Q8WWA1	TMEM40
ENSG00000139880	ENST00000487137	Q86UP0	CDH24
ENSG00000130377	ENST00000588485	Q5FVE4	ACSBG2
ENSG00000151715	ENST00000281441	Q96B21	TMEM45B
ENSG00000066427	ENST00000644486	P54252	ATXN3
ENSG00000138614	ENST00000313182	Q96SY0	INTS14
ENSG00000129925	ENST00000431232	Q9HCN3	PGAP6
ENSG00000139155	ENST00000266509	Q9NYB5	SLCO1C1
ENSG00000120217	ENST00000381577	Q9NZQ7	CD274
ENSG00000150625	ENST00000393658	P51674	GPM6A
ENSG00000016402	ENST00000316649	Q9UHF4	IL20RA
ENSG00000040731	ENST00000264463	Q9Y6N8	CDH10
ENSG00000135318	ENST00000257770	P21589	NT5E
ENSG00000105983	ENST00000353442	Q8WVP7	LMBR1
ENSG00000137404	ENST00000376421	Q8IXM6	NRM
ENSG00000120519	ENST00000335472	Q0GE19	SLC10A7
ENSG00000147606	ENST00000276609	Q8TE54	SLC26A7
ENSG00000070214	ENST00000374720	Q8WWI5	SLC44A1
ENSG00000146399	ENST00000275216	Q96RJ0	TAAR1
ENSG00000110448	ENST00000347785	P06127	CD5
ENSG00000140525	ENST00000310775	Q9NVI1	FANCI
ENSG00000103546	ENST00000568943	P23975	SLC6A2
ENSG00000122873	ENST00000333926	Q9NZ45	CISD1
ENSG00000091262	ENST00000205557	O95255	ABCC6
ENSG00000125355	ENST00000371369	Q5JRV8	TMEM255A
ENSG00000145526	ENST00000382275	Q13634	CDH18
ENSG00000105609	ENST00000449561	O75023	LILRB5
ENSG00000086758	ENST00000262854	Q7Z6Z7	HUWE1
ENSG00000114544	ENST00000360370	Q96GZ6	SLC41A3
ENSG00000106052	ENST00000396319	Q86VP1	TAX1BP1
ENSG00000119041	ENST00000263956	Q9Y5Q9	GTF3C3
ENSG00000117425	ENST00000372192	Q9Y6C5	PTCH2
ENSG00000104723	ENST00000503731	Q13454	TUSC3
ENSG00000115598	ENST00000264257	Q9HB29	IL1RL2
ENSG00000104853	ENST00000337392	O96005	CLPTM1
ENSG00000070886	ENST00000166244	P29322	EPHA8
ENSG00000115524	ENST00000335508	O75533	SF3B1
ENSG00000105605	ENST00000391767	P62955	CACNG7
ENSG00000142408	ENST00000270458	Q8WXS5	CACNG8
ENSG00000092068	ENST00000316902	Q9UHI5	SLC7A8
ENSG00000001630	ENST00000003100	Q16850	CYP51A1
ENSG00000102967	ENST00000219240	Q02127	DHODH
ENSG00000154305	ENST00000344922	Q5JRA6	MIA3
ENSG00000144357	ENST00000272793	Q6ZT12	UBR3
ENSG00000052802	ENST00000261507	Q15800	MSMO1
ENSG00000105696	ENST00000262817	Q9UK28	TMEM59L
ENSG00000112077	ENST00000371175	Q02094	RHAG
ENSG00000144891	ENST00000349243	P30556	AGTR1
ENSG00000014824	ENST00000264451	Q6PML9	SLC30A9
ENSG00000111319	ENST00000228916	P37088	SCNN1A
ENSG00000153294	ENST00000283303	Q8IZF3	ADGRF4
ENSG00000138798	ENST00000265171	P01133	EGF
ENSG00000138792	ENST00000265162	Q07075	ENPEP
ENSG00000010278	ENST00000009180	P21926	CD9
ENSG00000119711	ENST00000553458	Q02252	ALDH6A1
ENSG00000134061	ENST00000256447	Q99467	CD180
ENSG00000113494	ENST00000618457	P16471	PRLR
ENSG00000067842	ENST00000263519	Q16720	ATP2B3
ENSG00000143543	ENST00000271843	O76095	JTB
ENSG00000140553	ENST00000418476	Q9H3U1	UNC45A
ENSG00000135476	ENST00000257934	Q14674	ESPL1
ENSG00000149452	ENST00000336232	Q8TCC7	SLC22A8
ENSG00000112137	ENST00000332995	Q9C0D0	PHACTR1
ENSG00000149742	ENST00000279178	Q8IVM8	SLC22A9
ENSG00000153933	ENST00000284061	P52429	DGKE
ENSG00000101958	ENST00000218075	P23416	GLRA2
ENSG00000135409	ENST00000257863	Q16671	AMHR2
ENSG00000091181	ENST00000446632	Q01344	IL5RA
ENSG00000100596	ENST00000216484	O15270	SPTLC2
ENSG00000145794	ENST00000503335	Q96KG7	MEGF10
ENSG00000029364	ENST00000336643	Q9NUM3	SLC39A9
ENSG00000139572	ENST00000267015	Q9NQS5	GPR84
ENSG00000135702	ENST00000336257	Q9GZS9	CHST5
ENSG00000134207	ENST00000610222	Q5T7P8	SYT6
ENSG00000115750	ENST00000263663	Q53T94	TAF1B
ENSG00000065600	ENST00000261455	Q9H813	PACC1
ENSG00000109689	ENST00000467087	Q9P246	STIM2
ENSG00000146555	ENST00000404826	Q7Z5N4	SDK1
ENSG00000102125	ENST00000601016	Q16635	TAFAZZIN
ENSG00000129450	ENST00000250360	Q9Y336	SIGLEC9
ENSG00000105778	ENST00000318709	Q8NBF6	AVL9
ENSG00000114923	ENST00000358055	P48751	SLC4A3
ENSG00000105374	ENST00000221978	Q16617	NKG7
ENSG00000105370	ENST00000596399	P55344	LIM2
ENSG00000144648	ENST00000422265	O00590	ACKR2
ENSG00000108823	ENST00000262018	Q16586	SGCA
ENSG00000011028	ENST00000303375	Q9UBG0	MRC2
ENSG00000113361	ENST00000265071	P55285	CDH6
ENSG00000112486	ENST00000341935	P51684	CCR6
ENSG00000112992	ENST00000344920	Q13423	NNT
ENSG00000000003	ENST00000373020	O43657	TSPAN6
ENSG00000077782	ENST00000447712	P11362	FGFR1
ENSG00000131398	ENST00000477616	Q14003	KCNC3
ENSG00000123572	ENST00000243300	Q7Z2Y5	NRK
ENSG00000112303	ENST00000326499	O95498	VNN2
ENSG00000137492	ENST00000260045	O43422	THAP12
ENSG00000013306	ENST00000377095	Q9BZJ4	SLC25A39
ENSG00000135119	ENST00000257575	Q96EX2	RNFT2
ENSG00000138435	ENST00000348749	P02708	CHRNA1
ENSG00000005961	ENST00000262407	P08514	ITGA2B
ENSG00000095787	ENST00000354911	Q9BTA9	WAC
ENSG00000011677	ENST00000370314	P34903	GABRA3
ENSG00000106952	ENST00000223795	P32971	TNFSF8
ENSG00000146006	ENST00000274711	O43300	LRRTM2
ENSG00000149926	ENST00000380495	Q71RH2	TLCD3B
ENSG00000140943	ENST00000343411	Q14703	MBTPS1
ENSG00000139190	ENST00000396308	P23763	VAMP1
ENSG00000134970	ENST00000456936	Q9Y3B3	TMED7
ENSG00000027697	ENST00000367739	P15260	IFNGR1
ENSG00000100532	ENST00000216420	Q99675	CGRRF1
ENSG00000150093	ENST00000302278	P05556	ITGB1
ENSG00000127561	ENST00000248121	O43761	SYNGR3
ENSG00000109220	ENST00000263921	Q9UKJ5	CHIC2
ENSG00000123992	ENST00000273075	Q9ULA0	DNPEP
ENSG00000138623	ENST00000261918	O75326	SEMA7A
ENSG00000103152	ENST00000356432	P29372	MPG
ENSG00000149932	ENST00000279396	Q86XT9	TMEM219
ENSG00000145817	ENST00000274496	Q969M3	YIPF5
ENSG00000139193	ENST00000266557	P26842	CD27
ENSG00000131507	ENST00000253814	Q9BT67	NDFIP1
ENSG00000064651	ENST00000262461	P55011	SLC12A2
ENSG00000103034	ENST00000570248	Q9ULP0	NDRG4
ENSG00000145248	ENST00000273861	Q96EP9	SLC10A4
ENSG00000140612	ENST00000268220	P67812	SEC11A
ENSG00000083097	ENST00000349129	Q5JWR5	DOP1A
ENSG00000135535	ENST00000310786	Q04900	CD164
ENSG00000145819	ENST00000645722	Q9UNA1	ARHGAP26
ENSG00000154438	ENST00000284629	Q8WWH4	ASZ1
ENSG00000114554	ENST00000393409	Q9UIW2	PLXNA1
ENSG00000140519	ENST00000268122	Q9UBD6	RHCG
ENSG00000112695	ENST00000684430	P14406	COX7A2
ENSG00000053501	ENST00000263897	Q9NZ43	USE1
ENSG00000151475	ENST00000281154	Q9H0C2	SLC25A31
ENSG00000080815	ENST00000324501	P49768	PSEN1
ENSG00000118322	ENST00000327245	O94823	ATP10B
ENSG00000153822	ENST00000392671	Q9NPI9	KCNJ16
ENSG00000136997	ENST00000621592	P01106	MYC
ENSG00000106688	ENST00000262352	P43005	SLC1A1
ENSG00000151240	ENST00000280886	Q9Y2E4	DIP2C
ENSG00000136247	ENST00000335965	Q9NPG8	ZDHHC4
ENSG00000113594	ENST00000453190	P42702	LIFR
ENSG00000155256	ENST00000684270	Q5T4F4	ZFYVE27
ENSG00000023839	ENST00000647814	Q92887	ABCC2
ENSG00000051523	ENST00000261623	P13498	CYBA
ENSG00000146385	ENST00000275200	Q969N4	TAAR8
ENSG00000127995	ENST00000297273	Q96PB1	CASD1
ENSG00000106609	ENST00000341567	Q9NWD8	TMEM248
ENSG00000107593	ENST00000318222	Q9P0L9	PKD2L1
ENSG00000148358	ENST00000347136	Q5VW38	GPR107
ENSG00000108018	ENST00000263054	Q8WY21	SORCS1
ENSG00000072954	ENST00000187762	Q9H6F2	TMEM38A
ENSG00000151692	ENST00000320892	P50876	RNF144A
ENSG00000154263	ENST00000690296	Q8WWZ4	ABCA10
ENSG00000077235	ENST00000356183	Q12789	GTF3C1
ENSG00000079459	ENST00000220584	P37268	FDFT1
ENSG00000143570	ENST00000356205	Q9NY26	SLC39A1
ENSG00000070614	ENST00000261797	P52848	NDST1
ENSG00000064309	ENST00000531738	Q4KMG0	CDON
ENSG00000136854	ENST00000373299	P61764	STXBP1
ENSG00000065665	ENST00000298428	Q9H9S3	SEC61A2
ENSG00000144671	ENST00000448498	Q9Y267	SLC22A14
ENSG00000112167	ENST00000229903	Q9NPB0	SAYSD1
ENSG00000001626	ENST00000003084	P13569	CFTR
ENSG00000105642	ENST00000684775	Q92952	KCNN1
ENSG00000124466	ENST00000244333	O95274	LYPD3
ENSG00000122912	ENST00000609923	P16260	SLC25A16
ENSG00000092931	ENST00000685175	O43934	MFSD11
ENSG00000139641	ENST00000394048	Q9BSJ8	ESYT1
ENSG00000140983	ENST00000315082	Q8IXI1	RHOT2
ENSG00000124614	ENST00000648437	P46783	RPS10
ENSG00000118160	ENST00000236877	Q9UPR5	SLC8A2
ENSG00000086696	ENST00000199936	P37059	HSD17B2
ENSG00000119121	ENST00000360774	Q9BX84	TRPM6
ENSG00000143387	ENST00000271651	P43235	CTSK
ENSG00000136478	ENST00000584379	Q8IWB9	TEX2
ENSG00000141338	ENST00000586539	O94911	ABCA8
ENSG00000138161	ENST00000392790	Q86UP6	CUZD1
ENSG00000131389	ENST00000622186	P31641	SLC6A6
ENSG00000075790	ENST00000005259	Q9UHQ4	BCAP29
ENSG00000126709	ENST00000361157	P09912	IFI6
ENSG00000021488	ENST00000023064	P82251	SLC7A9
ENSG00000145863	ENST00000274545	Q16445	GABRA6
ENSG00000081760	ENST00000316519	Q86V21	AACS
ENSG00000004399	ENST00000324093	Q9Y4D7	PLXND1
ENSG00000139547	ENST00000398138	O75452	RDH16
ENSG00000135392	ENST00000678005	Q6Y2X3	DNAJC14
ENSG00000136709	ENST00000322313	Q9C0J8	WDR33
ENSG00000111728	ENST00000396037	Q92185	ST8SIA1
ENSG00000136295	ENST00000258796	Q9C0H2	TTYH3
ENSG00000132185	ENST00000236938	Q7L513	FCRLA
ENSG00000109991	ENST00000263314	P56373	P2RX3
ENSG00000116014	ENST00000234371	Q969F8	KISS1R
ENSG00000079819	ENST00000337057	O43491	EPB41L2
ENSG00000141219	ENST00000535032	Q9BSJ5	C17orf80
ENSG00000008710	ENST00000262304	P98161	PKD1
ENSG00000145864	ENST00000393959	P47870	GABRB2
ENSG00000114631	ENST00000342480	Q9NZ53	PODXL2
ENSG00000151726	ENST00000281455	P33121	ACSL1
ENSG00000110218	ENST00000227638	Q96RD7	PANX1
ENSG00000130881	ENST00000253193	O75074	LRP3
ENSG00000130876	ENST00000253188	Q9NS82	SLC7A10
ENSG00000123901	ENST00000243673	Q9NYM4	GPR83
ENSG00000115604	ENST00000233957	Q13478	IL18R1
ENSG00000065534	ENST00000360304	Q15746	MYLK
ENSG00000131591	ENST00000421241	Q96HA4	C1orf159
ENSG00000119013	ENST00000237889	O43676	NDUFB3
ENSG00000085831	ENST00000680483	Q5SRH9	TTC39A
ENSG00000138075	ENST00000405322	Q9H222	ABCG5
ENSG00000105695	ENST00000392213	P20916	MAG
ENSG00000105352	ENST00000221954	O75871	CEACAM4
ENSG00000007306	ENST00000401731	Q14002	CEACAM7
ENSG00000092421	ENST00000343348	Q9H2E6	SEMA6A
ENSG00000151117	ENST00000280734	Q8N2M4	TMEM86A
ENSG00000110786	ENST00000358540	P54829	PTPN5
ENSG00000113811	ENST00000495461	Q9Y6D0	SELENOK
ENSG00000108523	ENST00000262482	Q9H6Y7	RNF167
ENSG00000154511	ENST00000370310	Q5T7M9	DIPK1A
ENSG00000124067	ENST00000316341	Q9UP95	SLC12A4
ENSG00000143502	ENST00000366878	Q5VX71	SUSD4
ENSG00000152661	ENST00000282561	P17302	GJA1
ENSG00000123612	ENST00000243349	Q8NER5	ACVR1C
ENSG00000144741	ENST00000354883	Q70HW3	SLC25A26
ENSG00000006576	ENST00000422959	Q8N3S3	PHTF2
ENSG00000115170	ENST00000434821	Q04771	ACVR1
ENSG00000118308	ENST00000556887	Q12912	IRAG2
ENSG00000115526	ENST00000264249	O43529	CHST10
ENSG00000135226	ENST00000335568	Q9BY64	UGT2B28
ENSG00000144224	ENST00000272638	Q92575	UBXN4
ENSG00000138696	ENST00000515059	O00238	BMPR1B
ENSG00000116857	ENST00000367330	Q9P0T7	TMEM9
ENSG00000048140	ENST00000508164	Q96FV3	TSPAN17
ENSG00000146477	ENST00000275300	O75751	SLC22A3
ENSG00000154096	ENST00000284240	P04216	THY1
ENSG00000070019	ENST00000261170	P25092	GUCY2C
ENSG00000026652	ENST00000320285	Q9NRZ5	AGPAT4
ENSG00000127530	ENST00000641666	O76099	OR7C1
ENSG00000115257	ENST00000300954	Q6UW60	PCSK4
ENSG00000112530	ENST00000366888	Q96M98	PACRG
ENSG00000008952	ENST00000337002	Q99442	SEC62
ENSG00000110917	ENST00000228506	Q14165	MLEC
ENSG00000130748	ENST00000253047	Q9NX00	TMEM160
ENSG00000119227	ENST00000412723	Q86VD9	PIGZ
ENSG00000058404	ENST00000395749	Q13554	CAMK2B
ENSG00000108433	ENST00000640051	O14653	GOSR2
ENSG00000109133	ENST00000504986	P57088	TMEM33
ENSG00000096433	ENST00000605930	Q14573	ITPR3
ENSG00000140795	ENST00000394809	Q32MK0	MYLK3
ENSG00000124574	ENST00000372530	Q5T3U5	ABCC10
ENSG00000131650	ENST00000303746	Q8NCW0	KREMEN2
ENSG00000007372	ENST00000640368	P26367	PAX6
ENSG00000135124	ENST00000337233	Q99571	P2RX4
ENSG00000114013	ENST00000330540	P42081	CD86
ENSG00000135314	ENST00000257765	Q4VXA5	KHDC1
ENSG00000114023	ENST00000477892	Q96A26	FAM162A
ENSG00000146373	ENST00000521654	Q8TC41	RNF217
ENSG00000144867	ENST00000678299	Q9Y5M8	SRPRB
ENSG00000123473	ENST00000371877	Q15468	STIL
ENSG00000007312	ENST00000006750	P40259	CD79B
ENSG00000152049	ENST00000281830	Q8WWG9	KCNE4
ENSG00000121210	ENST00000409959	A2VDJ0	TMEM131L
ENSG00000153802	ENST00000283916	O60235	TMPRSS11D
ENSG00000132182	ENST00000254508	Q8TEM1	NUP210
ENSG00000108375	ENST00000407977	Q68DV7	RNF43
ENSG00000122484	ENST00000610020	Q8IXW5	RPAP2
ENSG00000106648	ENST00000392800	Q7Z4T8	GALNTL5
ENSG00000113396	ENST00000262462	Q9Y2P4	SLC27A6
ENSG00000069493	ENST00000290855	Q9UHP7	CLEC2D
ENSG00000112893	ENST00000261483	Q16706	MAN2A1
ENSG00000006283	ENST00000359106	O43497	CACNA1G
ENSG00000055118	ENST00000262186	Q12809	KCNH2
ENSG00000103197	ENST00000219476	P49815	TSC2
ENSG00000137731	ENST00000292079	P54710	FXYD2
ENSG00000137726	ENST00000526014	Q9H0Q3	FXYD6
ENSG00000110324	ENST00000227752	Q13651	IL10RA
ENSG00000130529	ENST00000252826	Q8TD43	TRPM4
ENSG00000143815	ENST00000272163	Q14739	LBR
ENSG00000117600	ENST00000370185	Q7Z2D5	PLPPR4
ENSG00000144659	ENST00000650617	Q96DW6	SLC25A38
ENSG00000105223	ENST00000409735	Q8IV08	PLD3
ENSG00000144229	ENST00000409968	Q9C0I4	THSD7B
ENSG00000076662	ENST00000160262	P32942	ICAM3
ENSG00000111262	ENST00000382545	Q09470	KCNA1
ENSG00000112195	ENST00000483722	Q5T2D2	TREML2
ENSG00000111729	ENST00000229332	Q9UMR7	CLEC4A
ENSG00000084234	ENST00000338167	Q06481	APLP2
ENSG00000064763	ENST00000536681	Q96K12	FAR2
ENSG00000087502	ENST00000360150	Q96RQ1	ERGIC2
ENSG00000084444	ENST00000197268	A2RU67	FAM234B
ENSG00000153029	ENST00000367580	Q95460	MR1
ENSG00000117500	ENST00000370282	Q9Y3A6	TMED5
ENSG00000144935	ENST00000476941	P48995	TRPC1
ENSG00000110719	ENST00000265686	Q13488	TCIRG1
ENSG00000145743	ENST00000542267	Q9UF56	FBXL17
ENSG00000113240	ENST00000316308	Q9HAZ1	CLK4
ENSG00000121904	ENST00000373381	Q7Z408	CSMD2
ENSG00000072182	ENST00000358078	Q96FT7	ASIC4
ENSG00000104783	ENST00000648319	O15554	KCNN4
ENSG00000114455	ENST00000467761	Q9UM44	HHLA2
ENSG00000134575	ENST00000672073	P11117	ACP2
ENSG00000143994	ENST00000316470	Q96SE0	ABHD1
ENSG00000143127	ENST00000369304	O75578	ITGA10
ENSG00000081818	ENST00000194152	Q9Y5E5	PCDHB4
ENSG00000120324	ENST00000239446	Q9UN67	PCDHB10
ENSG00000120328	ENST00000239450	Q9Y5F1	PCDHB12
ENSG00000120327	ENST00000239449	Q9Y5E9	PCDHB14
ENSG00000074855	ENST00000159087	Q9HCE9	ANO8
ENSG00000078795	ENST00000508883	Q9NZM6	PKD2L2
ENSG00000115204	ENST00000380044	P39210	MPV17
ENSG00000130300	ENST00000252590	Q9BX97	PLVAP
ENSG00000058262	ENST00000243253	P61619	SEC61A1
ENSG00000011105	ENST00000011898	O75954	TSPAN9
ENSG00000130304	ENST00000252595	Q6PCB7	SLC27A1
ENSG00000113732	ENST00000519374	O15342	ATP6V0E1
ENSG00000137747	ENST00000524993	Q9BYE2	TMPRSS13
ENSG00000145642	ENST00000389074	A6NKW6	SHISAL2B
ENSG00000118363	ENST00000263672	Q15005	SPCS2
ENSG00000121318	ENST00000240619	Q9NYW0	TAS2R10
ENSG00000019102	ENST00000326621	Q96IQ7	VSIG2
ENSG00000149564	ENST00000278927	Q96AP7	ESAM
ENSG00000139636	ENST00000267102	Q6UX01	LMBR1L
ENSG00000019582	ENST00000009530	P04233	CD74
ENSG00000108559	ENST00000573584	Q99567	NUP88
ENSG00000136546	ENST00000643258	Q01118	SCN7A
ENSG00000058804	ENST00000371429	Q9BTX1	NDC1
ENSG00000144771	ENST00000273286	Q9HBL6	LRTM1
ENSG00000135845	ENST00000344529	Q92535	PIGC
ENSG00000135926	ENST00000258412	Q969X1	TMBIM1
ENSG00000152291	ENST00000377386	O43493	TGOLN2
ENSG00000042445	ENST00000295802	Q6NUM9	RETSAT
ENSG00000051009	ENST00000449352	Q8N612	FHIP1B
ENSG00000132259	ENST00000379936	Q8IV77	CNGA4
ENSG00000145934	ENST00000518659	Q9NT68	TENM2
ENSG00000141837	ENST00000360228	O00555	CACNA1A
ENSG00000118640	ENST00000263864	Q9BV40	VAMP8
ENSG00000095015	ENST00000399503	Q13233	MAP3K1
ENSG00000105281	ENST00000542575	Q15758	SLC1A5
ENSG00000145850	ENST00000274532	Q96H15	TIMD4
ENSG00000085063	ENST00000642928	P13987	CD59
ENSG00000111181	ENST00000684302	P48065	SLC6A12
ENSG00000146066	ENST00000274787	Q9BW72	HIGD2A
ENSG00000033627	ENST00000343619	Q93050	ATP6V0A1
ENSG00000113194	ENST00000261942	Q96CS3	FAF2
ENSG00000113763	ENST00000329542	Q6ZN44	UNC5A
ENSG00000115486	ENST00000233838	P38435	GGCX
ENSG00000016864	ENST00000266014	Q68CQ7	GLT8D1
ENSG00000073737	ENST00000674881	Q9BPW9	DHRS9
ENSG00000115607	ENST00000687160	O95256	IL18RAP
ENSG00000006042	ENST00000579849	Q9Y2Y6	TMEM98
ENSG00000116329	ENST00000234961	P41143	OPRD1
ENSG00000127526	ENST00000595753	Q96K37	SLC35E1
ENSG00000121764	ENST00000403528	O43613	HCRTR1
ENSG00000110900	ENST00000546076	A1L157	TSPAN11
ENSG00000145703	ENST00000274364	Q13576	IQGAP2
ENSG00000109066	ENST00000335464	Q8NE00	TMEM104
ENSG00000135424	ENST00000257879	Q13683	ITGA7
ENSG00000144401	ENST00000411432	Q8WXB1	METTL21A
ENSG00000135517	ENST00000652304	P30301	MIP
ENSG00000087111	ENST00000308360	Q96S52	PIGS
ENSG00000152705	ENST00000282611	Q86XQ3	CATSPER3
ENSG00000011083	ENST00000230671	Q99884	SLC6A7
ENSG00000070808	ENST00000671881	Q9UQM7	CAMK2A
ENSG00000115317	ENST00000258080	O43464	HTRA2
ENSG00000139370	ENST00000266771	Q8N697	SLC15A4
ENSG00000085998	ENST00000371984	Q8WZA1	POMGNT1
ENSG00000152952	ENST00000282903	O00469	PLOD2
ENSG00000135472	ENST00000320634	Q9BWQ8	FAIM2
ENSG00000139624	ENST00000317551	Q8N5B7	CERS5
ENSG00000108733	ENST00000225873	O00623	PEX12
ENSG00000049656	ENST00000320895	Q96KA5	CLPTM1L
ENSG00000131626	ENST00000253925	Q13136	PPFIA1
ENSG00000013297	ENST00000064724	O75508	CLDN11
ENSG00000013293	ENST00000231706	Q8TBB6	SLC7A14
ENSG00000072952	ENST00000423302	Q9Y6F6	IRAG1
ENSG00000007923	ENST00000377577	Q9NVH1	DNAJC11
ENSG00000144136	ENST00000272542	Q8WUM9	SLC20A1
ENSG00000115525	ENST00000638572	Q9UNP4	ST3GAL5
ENSG00000149577	ENST00000324225	Q8NBJ9	SIDT2
ENSG00000127463	ENST00000477853	Q8N766	EMC1
ENSG00000139567	ENST00000388922	P37023	ACVRL1
ENSG00000053918	ENST00000155840	P51787	KCNQ1
ENSG00000062716	ENST00000262291	Q96GC9	VMP1
ENSG00000144824	ENST00000431670	Q86SQ0	PHLDB2
ENSG00000143434	ENST00000368914	Q9H3T2	SEMA6C
ENSG00000116459	ENST00000369722	P24539	ATP5PB
ENSG00000072310	ENST00000261646	P36956	SREBF1
ENSG00000143153	ENST00000367815	P05026	ATP1B1
ENSG00000137968	ENST00000370859	Q8NCS7	SLC44A5
ENSG00000154025	ENST00000395645	A0PJK1	SLC5A10
ENSG00000155511	ENST00000285900	P42261	GRIA1
ENSG00000141314	ENST00000269051	P58872	RHBDL3
ENSG00000006071	ENST00000389817	Q09428	ABCC8
ENSG00000145757	ENST00000274432	Q9BWV2	SPATA9
ENSG00000033867	ENST00000454389	Q9Y6M7	SLC4A7
ENSG00000143126	ENST00000271332	Q9HCU4	CELSR2
ENSG00000145495	ENST00000274140	O60337	MARCHF6
ENSG00000109016	ENST00000395511	Q6IAN0	DHRS7B
ENSG00000094755	ENST00000265294	O00591	GABRP
ENSG00000016602	ENST00000370563	Q14CN2	CLCA4
ENSG00000091972	ENST00000315711	P41217	CD200
ENSG00000141485	ENST00000433363	Q86YT5	SLC13A5
ENSG00000086570	ENST00000261800	Q9NYQ8	FAT2
ENSG00000145860	ENST00000424310	Q96MT1	RNF145
ENSG00000117598	ENST00000263177	Q32ZL2	PLPPR5
ENSG00000143595	ENST00000324978	Q96PS8	AQP10
ENSG00000080822	ENST00000341181	Q9NY35	CLDND1
ENSG00000080819	ENST00000647941	P36551	CPOX
ENSG00000132704	ENST00000361516	Q96LA5	FCRL2
ENSG00000114395	ENST00000425346	O14569	CYB561D2
ENSG00000126062	ENST00000266025	Q12893	TMEM115
ENSG00000081985	ENST00000674203	Q99665	IL12RB2
ENSG00000115902	ENST00000234256	P43007	SLC1A4
ENSG00000113441	ENST00000231368	Q9UIQ6	LNPEP
ENSG00000146013	ENST00000274721	O60609	GFRA3
ENSG00000153214	ENST00000283206	Q96K49	TMEM87B
ENSG00000088035	ENST00000263440	Q9Y672	ALG6
ENSG00000116729	ENST00000262348	Q5T9L3	WLS
ENSG00000143603	ENST00000271915	Q9UGI6	KCNN3
ENSG00000040933	ENST00000409851	Q96PE3	INPP4A
ENSG00000049245	ENST00000054666	Q15836	VAMP3
ENSG00000143226	ENST00000271450	P12318	FCGR2A
ENSG00000117322	ENST00000367057	P20023	CR2
ENSG00000143469	ENST00000367019	Q8NB59	SYT14
ENSG00000115841	ENST00000354545	Q96LZ7	RMDN2
ENSG00000120942	ENST00000376810	Q9Y5Z9	UBIAD1
ENSG00000143554	ENST00000624995	Q5K4L6	SLC27A3
ENSG00000144040	ENST00000272433	Q8TD22	SFXN5
ENSG00000143473	ENST00000271751	O95259	KCNH1
ENSG00000081320	ENST00000263955	O94768	STK17B
ENSG00000138061	ENST00000610745	Q16678	CYP1B1
ENSG00000131781	ENST00000254090	P49326	FMO5
ENSG00000115221	ENST00000283249	P18564	ITGB6
ENSG00000116237	ENST00000343813	O60725	ICMT
ENSG00000144445	ENST00000281772	A0AUZ9	KANSL1L
ENSG00000143552	ENST00000368559	Q5VU65	NUP210L
ENSG00000144583	ENST00000273067	Q9P2E8	MARCHF4
ENSG00000135749	ENST00000258229	A6NKB5	PCNX2
ENSG00000116685	ENST00000376572	Q8IYS2	KIAA2013
ENSG00000143786	ENST00000272133	Q8TBE1	CNIH3
ENSG00000143147	ENST00000682931	Q8N6U8	GPR161
ENSG00000076356	ENST00000367033	O75051	PLXNA2
ENSG00000119535	ENST00000373106	Q99062	CSF3R
ENSG00000116209	ENST00000234831	Q9BXS4	TMEM59
ENSG00000143702	ENST00000366542	Q5SW79	CEP170
ENSG00000081248	ENST00000362061	Q13698	CACNA1S
ENSG00000143252	ENST00000367975	Q99643	SDHC
ENSG00000066056	ENST00000372476	P35590	TIE1
ENSG00000143315	ENST00000368090	Q9H3S5	PIGM
ENSG00000156282	ENST00000286808	P56750	CLDN17
ENSG00000166265	ENST00000652641	Q96J86	CYYR1
ENSG00000198743	ENST00000381151	P53794	SLC5A3
ENSG00000159261	ENST00000399135	O95500	CLDN14
ENSG00000243627	ENST00000450895	A8MWV9	SMIM34
